epoch,acc,loss
0,0.465209731165,0.982882975884
1,0.472382309045,0.916493216434
2,0.476177623985,0.901975741959
3,0.479895469077,0.896121060559
4,0.48279291773,0.893160443997
5,0.485981682168,0.891420602464
6,0.487852028713,0.890560281385
7,0.489138316102,0.890003683547
8,0.490167203115,0.889533373281
9,0.490599535532,0.889280188631
10,0.491197518127,0.889015956586
11,0.49172659888,0.888839855867
12,0.492323867376,0.888733213912
13,0.492287452945,0.888559719394
14,0.492927919086,0.888500098568
15,0.493092141076,0.888426793214
16,0.493209238437,0.888318434371
17,0.493334547069,0.888256635953
18,0.49357873823,0.888168459416
19,0.493667275429,0.888079891837
