epoch,acc,loss
0,0.479450738412,0.868886711176
1,0.491003764679,0.807107924411
2,0.493370980518,0.802578966203
3,0.495861376463,0.801207526221
4,0.497421077265,0.800610790773
5,0.498654044658,0.800390256921
6,0.499782177735,0.800152769721
7,0.500423413943,0.799983835229
8,0.501635996881,0.799878484327
9,0.501741995974,0.799786230875
10,0.502257431025,0.799693096424
11,0.502773448534,0.799656178644
12,0.502666575761,0.799602709716
13,0.502721905083,0.799561387142
14,0.502622312505,0.799486808776
15,0.502979622575,0.799459513651
16,0.503073390956,0.799406124681
17,0.502982534683,0.799360209739
18,0.503312180179,0.799365818285
19,0.503003210258,0.799354239261
20,0.503276944198,0.799299572998
21,0.503378575138,0.799297617563
22,0.503352949046,0.799278736867
23,0.503459239237,0.79930109755
24,0.503437689988,0.799223156062
