epoch,acc,loss
0,0.483560696935,0.854914810407
1,0.490986716385,0.844728195968
2,0.492743763606,0.843948240213
3,0.49342416542,0.843597272303
4,0.493794700111,0.843352393506
5,0.494105428727,0.843169158333
6,0.49425909271,0.842999192974
7,0.494497772914,0.84285860724
8,0.494610629113,0.842711698401
9,0.494677553881,0.842582457589
10,0.494739536374,0.842455329037
11,0.494880413917,0.842323243216
12,0.495003245353,0.842205193682
13,0.494950104546,0.842102877594
14,0.49496982831,0.841988579078
15,0.495043236984,0.841897351735
16,0.495124399135,0.841798453584
17,0.495205742652,0.841716966494
18,0.495214901732,0.84165633053
19,0.495217304859,0.841600080055
