epoch,acc,loss
0,0.479184411224,0.875344775975
1,0.487216775413,0.842902915676
2,0.49089808223,0.840795717341
3,0.492986723061,0.8399267508
4,0.494065322505,0.839418140574
5,0.495183914175,0.83912972542
6,0.49611135261,0.838927414761
7,0.496515797639,0.838729671944
8,0.496751585057,0.838661032495
9,0.497187571559,0.83851827343
10,0.497499772656,0.83843860118
11,0.497406933586,0.83848941197
12,0.497481442915,0.838302725761
13,0.497577138538,0.838247840811
14,0.497859583551,0.838171830898
15,0.497965039163,0.838119748206
16,0.498016695777,0.838069445134
17,0.49814286169,0.838000975769
18,0.498163452925,0.837991716368
19,0.498318303712,0.837912372576
20,0.498351511528,0.837852537637
21,0.498486247161,0.837803403337
22,0.498473035477,0.837790778497
23,0.498357819839,0.837749754122
24,0.498450658896,0.837717052523
