epoch,acc,loss
0,0.448623140032,0.948695040504
1,0.455205618603,0.939836540816
2,0.458171744302,0.938614171733
3,0.4593249055,0.937982333282
4,0.459912543651,0.93781254311
5,0.460585150471,0.937197662488
6,0.461032320529,0.936716862006
7,0.461334789894,0.936404364781
8,0.461739211079,0.936033459025
9,0.461952479248,0.93576515842
10,0.462244102682,0.935570617907
11,0.46249160168,0.935396078146
12,0.462521917398,0.935256690389
13,0.462748041956,0.935156282391
14,0.462867400161,0.935078421755
15,0.463037125859,0.934978413462
16,0.463221189335,0.934894639556
17,0.463355096991,0.934834378065
18,0.463451546469,0.934769717625
19,0.4635876233,0.934699672914
