epoch,acc,loss
0,0.485339135888,0.842366268922
1,0.492878933276,0.816469471633
2,0.497322577922,0.814906820575
3,0.499484573997,0.814313862536
4,0.500400428423,0.81402162427
5,0.500997526988,0.813817366555
6,0.501391290397,0.81366133685
7,0.501683068885,0.813520605043
8,0.50191549722,0.813428119486
9,0.502051441874,0.813313696734
10,0.502269376503,0.813249581736
11,0.502493870349,0.813172372255
12,0.502741003942,0.813121733977
13,0.502695195327,0.813055804563
14,0.502980837829,0.812991875102
15,0.503178777444,0.812918581097
16,0.50306642478,0.812875737703
17,0.503286475263,0.812848016548
18,0.503398510571,0.812788211756
19,0.503485896005,0.812756555619
