epoch,acc,loss
0,0.488405472475,0.877350007409
1,0.48853032909,0.87729563069
2,0.488572820796,0.877276913097
3,0.488745644314,0.877210776946
4,0.488696249153,0.877228243473
5,0.488736360375,0.877160096551
6,0.48889490093,0.877163880422
7,0.488838602386,0.877086581775
8,0.488984526333,0.877069823667
9,0.488972980974,0.877015142503
10,0.489173299084,0.876991756591
11,0.489094862018,0.876963616107
12,0.489076294185,0.876940962891
13,0.489182106931,0.876914204433
14,0.489249950828,0.876893775636
15,0.489320413328,0.876870877985
16,0.489146756674,0.876844239692
17,0.4893027977,0.876818057938
18,0.489388614303,0.876821261481
19,0.489324460145,0.876784142041
20,0.48939575576,0.87674620449
21,0.489326245522,0.876732484614
22,0.489438366516,0.876715174375
23,0.489208768372,0.876708850627
24,0.489473240672,0.876674294258
