epoch,acc,loss
0,0.453187667013,0.958806151722
1,0.472218934675,0.899721988889
2,0.475366133908,0.893311517893
3,0.477165822371,0.890625664102
4,0.47915179531,0.889256079024
5,0.480473831278,0.888410573136
6,0.481750755619,0.887868327994
7,0.482784077189,0.887484941478
8,0.483844996457,0.887149828285
9,0.484755720552,0.886950624674
10,0.484962172576,0.886873677078
11,0.485432394923,0.886576292681
12,0.485721640046,0.886389396709
13,0.486676945041,0.886277417338
14,0.487094625614,0.886094549336
15,0.487186441038,0.885945131228
16,0.487801551309,0.885793853683
17,0.488072751782,0.885760174159
18,0.488151829807,0.885680510827
19,0.488760040654,0.885592831582
20,0.489004174152,0.885484050505
21,0.488986129502,0.885432043778
22,0.489101827551,0.88538630596
23,0.48933746945,0.885381652828
24,0.489478642299,0.885285660829
