epoch,acc,loss
0,0.377161054028,2.14258621903
1,0.449851487175,1.3440803943
2,0.464404488465,1.09450852847
3,0.47296461069,0.995510703239
4,0.477516787134,0.951719075571
5,0.479447773079,0.926061395852
6,0.48239105872,0.909974684308
7,0.482559246604,0.898428818183
8,0.482633820295,0.890731975961
9,0.484250644213,0.88309344264
10,0.484412485362,0.877518187911
11,0.485926175021,0.872665260575
12,0.486381551465,0.868689814829
13,0.486976555132,0.866128087648
14,0.487193930115,0.863483748356
15,0.487926974625,0.861390567251
16,0.489894454119,0.859245902789
17,0.49163662553,0.857889421735
18,0.492318896574,0.856945019204
19,0.493773879465,0.855856377991
